abandon	abandonment
characterise	character
characterise	characterisation
characterize	character
characterize	characterization
charge	charge
chase	chase
chasse	chasse
chastise	chastisement
chat	chat
chatter	chatter
cheat	cheat
check	check
checkmate	checkmate
cheek	cheek
cheep	cheep
cheer	cheer
chelate	chelation
chemisorb	chemisorption
chemisorb	chemosorption
chew	chew
chicane	chicane
chill	chill
chink	chink
chip	chip
chirp	chirp
chirrup	chirrup
chitchat	chitchat
chlorinate	chlorination
chomp	chomp
chop	chop
chortle	chortle
chorus	chorus
christianise	christianisation
christianize	christianization
chronicle	chronicle
chuckle	chuckle
chug	chug
church	church
cinch	cinch
circle	circle
circuit	circuit
circularise	circularisation
circularize	circularization
circulate	circulation
circumcise	circumcision
circumnavigate	circumnavigation
circumscribe	circumscription
circumvent	circumvention
circumvolve	circumvolution
cite	citation
civilise	civilisation
clack	clack
claim	claim
clamber	clamber
clamor	clamor
clamour	clamour
clang	clang
clang	clangor
clangor	clangor
clangour	clangour
clank	clank
clap	clap
clarify	clarification
clash	clash
clasp	clasp
classify	classification
clatter	clatter
clear	clear
clear	clearance
clench	clench
click	click
climax	climax
climb	climb
clinch	clinch
clink	clink
clip	clip
clog	clog
close	close
cloud	cloud
clout	clout
cluck	cluck
clump	clump
clunk	clunk
clutch	clutch
clutter	clutter
coact	coaction
coagulate	coagulation
coalesce	coalescence
coalesce	coalition
coast	coast
codify	codification
coerce	coercion
coexist	coexistence
cogitate	cogitation
cognise	cognisance
cognize	cognizance
cohabit	cohabitation
cohere	coherence
cohere	cohesion
cold-shoulder	cold_shoulder
collaborate	collaboration
collapse	collapse
collar	collar
collate	collation
collect	collection
collectivise	collectivisation
collectivize	collectivization
collide	collision
colligate	colligation
collimate	collimation
collocate	collocation
collude	collusion
colonise	colonisation
colonize	colonization
color	coloration
combat	combat
comb	comb
combine	combination
combine	combine
combust	combustion
comfort	comfort
command	command
command	commandment
commemorate	commemoration
commence	commencement
commentate	comment
comment	comment
commercialise	commercialisation
commercialize	commercialization
commiserate	commiseration
commission	commission
commit	commission
commit	commitment
commit	committal
commune	communion
communicate	communication
communise	communisation
communize	communization
commute	commutation
compact	compaction
compartmentalise	compartmentalisation
compartmentalize	compartmentalization
compel	compulsion
compensate	compensation
compete	competition
compile	compilation
complete	completion
complicate	complication
compliment	compliment
comply	compliance
comport	comportment
compose	composition
comprehend	comprehension
compress	compression
compromise	compromise
compute	computation
computerize	computerization
concatenate	concatenation
conceal	concealment
concede	concession
conceive	conception
concentrate	concentration
conceptualise	conceptualisation
conceptualize	conceptualization
concern	concern
conciliate	conciliation
conclude	conclusion
concoct	concoction
con	con
concord	concord
concord	concordance
concrete	concretion
concur	concurrence
concuss	concussion
condemn	condemnation
condense	condensation
condescend	condescension
condition	condition
condole	condolence
condone	condonation
conduct	conduction
confab	confab
confabulate	confabulation
confect	confection
confection	confection
confederate	confederation
confer	conferee
confer	conference
confer	conferment
confer	conferral
confess	confession
confine	confinement
confirm	confirmation
confiscate	confiscation
conflict	conflict
conform	conformance
conform	conformation
confront	confrontation
confuse	confusion
confute	confutation
conga	conga
congeal	congelation
conge	conge
congest	congestion
conglobe	conglobation
conglomerate	conglomeration
conglutinate	conglutination
congratulate	congratulation
congregate	congregation
conjecture	conjecture
conjugate	conjugation
conjure	conjuration
connect	connection
connect	connexion
connive	connivance
conscript	conscription
consecrate	consecration
consent	consent
conserve	conservation
consider	consideration
consign	consignment
consist	consistence
console	consolation
consolidate	consolidation
constellate	constellation
constipate	constipation
constitute	constitution
constitutionalize	constitutional
constrict	constriction
construct	construction
consult	consultation
consume	consumption
consummate	consummation
contact	contact
contain	containment
contaminate	contamination
contemplate	contemplation
contend	contention
content	content
content	contentment
contest	contest
contest	contestation
continue	continuance
continue	continuation
contort	contortion
contract	contract
contract	contraction
contra_danse	contra_danse
contradict	contradiction
contrast	contrast
contravene	contravention
contredanse	contredanse
contribute	contribution
contrive	contrivance
control	control
contuse	contusion
convalesce	convalescence
convect	convection
convene	convention
conventionalise	conventionalisation
conventionalize	conventionalization
converge	convergence
converse	conversation
convert	conversion
convey	conveyance
convict	conviction
convoke	convocation
convolute	convolution
convolve	convolution
convoy	convoy
convulse	convulsion
cooccur	co-occurrence
coo	coo
cooperate	cooperation
co-opt	co-optation
co-opt	co-option
coordinate	coordination
copulate	copulation
corner	corner
coronate	coronation
corrade	corrasion
correct	correction
correlate	correlation
correspond	correspondence
corroborate	corroboration
corrode	corrosion
corrugate	corrugation
corrupt	corruption
coruscate	coruscation
cost	cost
cough	cough
counteract	counteraction
counterattack	counterattack
counterclaim	counterclaim
counter	counter
countermand	countermand
countermine	countermine
counterpoint	counterpoint
countersign	countersign
country-dance	country-dance
court	court
court-martial	court-martial
covenant	covenant
cover	cover
crack	crack
crackle	crackle
crash	crash
crawl	crawl
craze	craze
creak	creak
create	creation
credit	credit
creep	creep
cremate	cremation
crenelate	crenelation
crenellate	crenellation
crepitate	crepitation
crescendo	crescendo
crick	crick
cricket	cricket
critique	critique
croak	croak
crop	crop
croquet	croquet
cross	cross
cross_examine	cross-examination
cross-fertilise	cross-fertilisation
cross-fertilize	cross-fertilization
cross-pollinate	cross-pollination
cross_question	cross-question
crouch	crouch
crow	crow
crowd	crowd
crucify	crucifixion
cruise	cruise
crunch	crunch
crusade	crusade
crush	crush
cry	cry
crystallise	crystallisation
crystallize	crystallization
cuddle	cuddle
culminate	culmination
cultivate	cultivation
curb	curb
curse	curse
curtsey	curtsey
curtsy	curtsy
curvet	curvet
cuss	cuss
cybernate	cybernation
cycle	cycle
dab	dab
dally	dalliance
damage	damage
damn	damnation
dance	dance
dare	dare
dart	dart
dash	dash
date	date
dawn	dawn
daydream	daydream
daze	daze
deactivate	deactivation
deal	deal
deaminate	deamination
deaminize	deaminization
debar	debarment
debark	debarkation
debase	debasement
debate	debate
debauch	debauch
debilitate	debilitation
debit	debit
debut	debut
decalcify	decalcification
decamp	decampment
decarboxylate	decarboxylation
decay	decay
decease	decease
deceive	deception
decelerate	deceleration
decentralise	decentralisation
decentralize	decentralization
decide	decision
decimalise	decimalisation
decimalize	decimalization
decimate	decimation
decipher	decipherment
declaim	declamation
declassify	declassification
decline	declension
decline	declination
decline	decline
decolonise	decolonisation
decolonize	decolonization
decompose	decomposition
decompress	decompression
decontaminate	decontamination
decorate	decoration
decrease	decrease
decrescendo	decrescendo
dedicate	dedication
dedifferentiate	dedifferentiation
deduct	deduction
de-escalate	de-escalation
deface	defacement
defalcate	defalcation
defame	defamation
default	default
defeat	defeat
defecate	defecation
defect	defection
defend	defence
defenestrate	defenestration
defer	deference
defer	deferment
defer	deferral
defervesce	defervescence
defibrillate	defibrillation
defile	defilement
deflagrate	deflagration
deflate	deflation
deflect	deflection
deflect	deflexion
deflower	defloration
defoliate	defoliation
deforest	deforestation
deform	deformation
defray	defrayal
defray	defrayment
defy	defiance
degenerate	degeneration
degrade	degradation
degust	degustation
dehisce	dehiscence
dehumanise	dehumanisation
dehumanize	dehumanization
dehydrate	dehydration
deify	deification
de-iodinate	de-iodination
deject	dejection
delay	delay
delegate	delegation
delete	deletion
deliberate	deliberation
delight	delight
delineate	delineation
deliver	deliverance
delude	delusion
deluge	deluge
demagnetise	demagnetisation
demagnetize	demagnetization
demand	demand
demarcate	demarcation
demineralise	demineralisation
demineralize	demineralization
demobilise	demobilisation
demobilize	demobilization
demo	demo
demodulate	demodulation
demolish	demolition
demonetise	demonetisation
demonetize	demonetization
demonstrate	demonstration
demoralise	demoralisation
demoralize	demoralization
demote	demotion
demur	demur
demur	demurral
demythologise	demythologisation
demythologize	demythologization
denationalise	denationalisation
denationalize	denationalization
denazify	denazification
denigrate	denigration
denominate	denomination
denote	denotation
denounce	denouncement
denude	denudation
deny	denial
depersonalise	depersonalisation
depersonalize	depersonalization
depict	depiction
depilate	depilation
deplete	depletion
deploy	deployment
depolarise	depolarisation
depolarize	depolarization
depopulate	depopulation
deport	deportation
deport	deportment
depose	deposition
deposit	deposit
deposit	deposition
deprecate	deprecation
depreciate	depreciation
depress	depression
deprive	deprivation
depute	deputation
deracinate	deracination
derail	derailment
derange	derangement
deregulate	deregulation
deride	derision
derive	derivation
derogate	derogation
desalinate	desalination
desalinise	desalinisation
desalinize	desalinization
describe	description
desecrate	desecration
desegregate	desegregation
desensitise	desensitisation
desensitize	desensitization
desert	desertion
desiccate	desiccation
designate	designation
design	design
desire	desire
desolate	desolation
desorb	desorption
despair	despair
despair	desperation
despatch	despatch
despise	despisal
despoil	despoilment
despoil	despoliation
despond	despondence
desquamate	desquamation
destabilise	destabilisation
destabilize	destabilization
destalinise	destalinisation
destalinize	destalinization
destroy	destruction
detach	detachment
detail	detail
detain	detention
detect	detection
deter	determent
deter	deterrence
deteriorate	deterioration
determine	determination
determine	determiner
detest	detestation
dethrone	dethronement
detonate	detonation
detoxify	detoxification
detract	detraction
detribalise	detribalisation
detribalize	detribalization
devaluate	devaluation
devalue	devaluation
devastate	devastation
develop	development
deviate	deviation
devil	devilment
devise	devisal
devitalise	devitalisation
devitalize	devitalization
devolve	devolution
devolve	devolvement
devote	devotion
diagonalise	diagonalisation
diagonalize	diagonalization
dichotomise	dichotomisation
dichotomize	dichotomization
dictate	dictate
dictate	dictation
diet	diet
differ	difference
differentiate	difference
differentiate	differentiation
diffract	diffraction
diffuse	diffusion
dig	dig
digest	digestion
digitalize	digitalization
digitise	digitisation
digitize	digitization
digress	digression
dilapidate	dilapidation
dilate	dilatation
dilate	dilation
dilute	dilution
diminish	diminution
din	din
dine	dinner
dip	dip
disable	disablement
disaffect	disaffection
disambiguate	disambiguation
disappear	disappearance
disappoint	disappointment
disapprove	disapproval
disarm	disarmament
disarrange	disarrangement
disarray	disarray
disassociate	disassociation
disavow	disavowal
disband	disbandment
disbar	disbarment
disburse	disbursal
disburse	disbursement
discard	discard
discern	discernment
discharge	discharge
discipline	discipline
discolor	discoloration
discolour	discolouration
discombobulate	discombobulation
disconcert	disconcertion
disconcert	disconcertment
disconnect	disconnection
discontent	discontent
discontent	discontentment
discontinue	discontinuance
discontinue	discontinuation
discord	discord
discord	discordance
discount	discount
discourage	discouragement
discourse	discourse
discredit	discredit
discriminate	discrimination
discuss	discussion
disdain	disdain
disembark	disembarkation
disembark	disembarkment
disenchant	disenchantment
disenfranchise	disenfranchisement
disengage	disengagement
disentangle	disentanglement
disestablish	disestablishment
disesteem	disesteem
disfavor	disfavor
disfavour	disfavour
disfigure	disfigurement
disforest	disforestation
disfranchise	disfranchisement
disgorge	disgorgement
disgrace	disgrace
disgruntle	disgruntlement
disguise	disguise
disgust	disgust
dishearten	disheartenment
dishonor	dishonor
dishonour	dishonour
disillusion	disillusion
disillusion	disillusionment
disinfect	disinfection
disinfest	disinfestation
disinherit	disinheritance
disintegrate	disintegration
disinter	disinterment
disinvest	disinvestment
disjoin	disjunction
dislike	dislike
dislocate	dislocation
dislodge	dislodgement
dismantle	dismantlement
dismay	dismay
dismember	dismemberment
dismiss	dismissal
dismiss	dismission
dismount	dismount
disobey	disobedience
disorder	disorder
disorganise	disorganisation
disorganize	disorganization
disorient	disorientation
disown	disownment
disparage	disparagement
dispatch	dispatch
dispense	dispensation
disperse	dispersal
disperse	dispersion
dispose	disposal
dispose	disposition
dispossess	dispossession
dispute	disputation
dispute	dispute
disqualify	disqualification
disquiet	disquiet
disregard	disregard
disrespect	disrespect
disrupt	disruption
dissatisfy	dissatisfaction
dissect	dissection
disseminate	dissemination
dissent	dissension
dissent	dissent
dissertate	dissertation
dissimilate	dissimilation
dissimulate	dissimulation
dissipate	dissipation
dissociate	dissociation
dissolve	dissolution
dissolve	dissolve
dissonate	dissonance
dissuade	dissuasion
distance	distance
distemper	distemper
distend	distension
distend	distention
distill	distillation
distill	distillment
distinguish	distinction
distort	distortion
distract	distraction
distress	distress
distribute	distribution
distrust	distrust
disturb	disturbance
disunite	disunion
dither	dither
divagate	divagation
dive	dive
diverge	divergence
diversify	diversification
divert	diversion
divide	division
divorce	divorce
divorce	divorcement
divulge	divulgement
divulge	divulgence
document	document
dodge	dodge
dogfight	dogfight
dominate	dominance
dominate	domination
dominate	dominion
donate	donation
doom	doom
double_cross	double_cross
double	double
doubt	doubt
douche	douche
dowse	dowse
doze	doze
draft	draft
drag	drag
drain	drain
dramatise	dramatisation
dramatize	dramatization
draw	draw
dread	dread
dream	dream
dribble	dribble
drift	drift
drill	drill
drink	drink
drive	drive
drizzle	drizzle
drop	drop
dropkick	dropkick
drowse	drowse
drum	drum
duel	duel
dunk	dunk
duplicate	duplication
eagle	eagle
ease	ease
ease	easement
ebb	ebb
echo	echo
eclipse	eclipse
eddy	eddy
edge	edge
edify	edification
educate	education
efface	effacement
effect	effect
effectuate	effectuation
effervesce	effervescence
effloresce	efflorescence
effuse	effusion
egress	egress
egress	egression
ejaculate	ejaculation
eject	ejection
elaborate	elaboration
elate	elation
elect	election
electrify	electricity
electrify	electrification
electrocute	electrocution
elevate	elevation
elicit	elicitation
elide	elision
eliminate	elimination
elocute	elocution
elongate	elongation
elope	elopement
elucidate	elucidation
elude	elusion
elute	elution
emanate	emanation
emancipate	emancipation
emasculate	emasculation
embalm	embalmment
embark	embarkment
embarrass	embarrassment
embellish	embellishment
embezzle	embezzlement
embitter	embitterment
embody	embodiment
embrace	embrace
embroil	embroilment
emerge	emergence
emerge	emersion
emigrate	emigration
emit	emission
emote	emotion
emplace	emplacement
employ	employ
employ	employment
empower	empowerment
emulate	emulation
enact	enactment
encamp	encampment
encapsulate	encapsulation
encase	encasement
enchant	enchantment
encircle	encirclement
encompass	encompassment
encounter	encounter
encourage	encouragement
encroach	encroachment
encrust	encrustation
encrypt	encryption
endear	endearment
endeavor	endeavor
endeavour	endeavour
end	end
endorse	endorsement
endow	endowment
endure	endurance
enervate	enervation
enfeeble	enfeeblement
enforce	enforcement
enfranchise	enfranchisement
engage	engagement
engorge	engorgement
engross	engrossment
enjoin	injunction
enjoy	enjoyment
enlarge	enlargement
enlist	enlistment
ennoble	ennoblement
enrage	enragement
enrich	enrichment
enrol	enrolment
enroll	enrollment
enslave	enslavement
enter	entrance
enthrall	enthrallment
enthrone	enthronement
enthrone	enthronisation
enthrone	enthronization
entice	enticement
entomb	entombment
entrance	entrancement
enucleate	enucleation
enumerate	enumeration
enunciate	enunciation
envelop	envelopment
envy	envy
equalise	equalisation
equalize	equalization
equate	equation
equivocate	equivocation
eradicate	eradication
erect	erection
erode	erosion
err	error
eruct	eructation
erupt	eruption
escalade	escalade
escalate	escalation
escape	escape
espouse	espousal
espy	espial
essay	essay
establish	establishment
esteem	esteem
estimate	estimation
estivate	estivation
estrange	estrangement
etiolate	etiolation
europeanise	europeanisation
europeanize	europeanization
evacuate	evacuation
evade	evasion
evaluate	evaluation
evanesce	evanescence
evaporate	evaporation
evaporate	vapor
evert	eversion
evict	eviction
eviscerate	evisceration
evoke	evocation
evolve	evolution
exacerbate	exacerbation
exact	exaction
exaggerate	exaggeration
exalt	exaltation
examine	examination
exasperate	exasperation
excavate	excavation
except	exception
exchange	exchange
excise	excision
excite	excitation
excite	excitement
exclaim	exclamation
exclude	exclusion
excogitate	excogitation
excommunicate	excommunication
excoriate	excoriation
excrete	excretion
excruciate	excruciation
exculpate	exculpation
execrate	execration
execute	execution
exemplify	example
exemplify	exemplification
exempt	exemption
exenterate	exenteration
exercise	exercise
exert	exertion
exfoliate	exfoliation
exhale	exhalation
exhaust	exhaustion
exhibit	exhibition
exhilarate	exhilaration
exhort	exhortation
exhume	exhumation
exile	exile
exist	existence
exit	exit
exonerate	exoneration
expand	expansion
expatiate	expatiation
expatriate	expatriation
expect	expectation
expectorate	expectoration
expel	expulsion
experience	experience
experiment	experiment
experiment	experimentation
expiate	expiation
expire	expiration
explain	explanation
explicate	explication
explode	explosion
exploit	exploitation
explore	exploration
export	exportation
expose	expose
exposit	exposition
expostulate	expostulation
express	express
express	expression
expropriate	expropriation
expunge	expunction
expurgate	expurgation
extemporise	extemporisation
extemporize	extemporization
extend	extension
extenuate	extenuation
exteriorise	exteriorisation
exteriorize	exteriorization
extinguish	extinction
extirpate	extirpation
extort	extortion
extract	extraction
extradite	extradition
extrapolate	extrapolation
extravasate	extravasation
extricate	extrication
extrude	extrusion
exude	exudation
exult	exultation
fabricate	fabrication
face	face
facilitate	facilitation
factor	factorisation
factor	factorization
factorise	factorisation
factorize	factor
factorize	factorization
fade	fade
faint	faint
fall	fall
falsify	falsification
falsify	falsifying
falsify	falsity
falter	falter
familiarise	familiarisation
familiarize	familiarization
fare	fare
farrow	farrow
fart	fart
fascinate	fascination
fast	fast
fate	fate
fatigue	fatigue
fault	fault
favor	favor
favour	favour
fear	fear
feast	feast
feather	feather
fecundate	fecundation
federalise	federalisation
federalize	federalization
federate	federation
feel	feel
feint	feint
felicitate	felicitation
fellate	fellation
fell	fell
feminise	feminisation
feminize	feminization
ferment	ferment
ferment	fermentation
ferry	ferry
fertilize	fertilization
fester	fester
festinate	festination
fete	fete
feud	feud
fibrillate	fibrillation
fictionalise	fictionalisation
fictionalize	fictionalization
fidget	fidget
fight	fight
figure	figuration
filiate	filiation
filter	filtration
finalise	finalisation
finalize	finalization
finance	finance
find	find
finish	finish
fire	fire
fistfight	fistfight
fixate	fixation
fix	fix
flagellate	flagellation
flame	flame
flap	flap
flare	flare
flash	flash
flaunt	flaunt
flavor	flavor
flavour	flavour
flaw	flaw
flex	flex
flicker	flicker
flick	flick
flight	flight
flinch	flinch
fling	fling
flip	flip
flip-flop	flip-flop
flirt	flirt
flirt	flirtation
flit	flit
float	floatation
float	flotation
flocculate	flocculation
flood	flood
flop	flop
flounce	flounce
flourish	flourish
flow	flow
flub	flub
fluctuate	fluctuation
fluff	fluff
fluoresce	fluorescence
fluoridate	fluoridation
fluoridise	fluoridisation
fluoridize	fluoridization
flurry	flurry
flush	flush
fluster	fluster
flutter	flutter
flux	flux
flux	fluxion
focalise	focalisation
focalize	focalization
fog	fog
fold	fold
foliate	foliation
folk_dance	folk_dance
foment	fomentation
foot	foot
forage	forage
foray	foray
forbear	forbearance
forbid	forbiddance
force	force
ford	ford
forecast	forecast
forfeit	forfeit
fork	fork
formalise	formalisation
formalize	formalization
form	formation
formicate	formication
formulate	formulation
fornicate	fornication
fortify	fortification
fossilise	fossilisation
fossilize	fossilization
foul	foul
found	foundation
foxhunt	foxhunt
fractionate	fractionation
fracture	fracture
fragment	fragmentation
fraternise	fraternisation
fraternize	fraternization
frazzle	frazzle
freeze	freeze
freight	freight
fresco	fresco
fret	fret
fright	fright
frisk	frisk
frolic	frolic
frost	frost
frown	frown
fructify	fructification
fruit	fruition
frustrate	frustration
fuck	fuck
fulfil	fulfilment
fulfill	fulfillment
fulminate	fulmination
fumble	fumble
fumigate	fumigation
function	function
further	furtherance
fuse	fusion
fusillade	fusillade
fuss	fuss
gabble	gabble
gag	gag
gall	gall
gallop	gallop
galvanise	galvanisation
galvanize	galvanization
gamble	gamble
gambol	gambol
gape	gape
gargle	gargle
gasconade	gasconade
gash	gash
gasify	gasification
gasp	gasp
gather	gather
gauge	gauge
gaze	gaze
geminate	gemination
generalise	generalisation
generalize	generalization
generate	generation
gentrify	gentrification
genuflect	genuflection
genuflect	genuflexion
germinate	germination
gerrymander	gerrymander
gestate	gestation
gesticulate	gesticulation
get_together	get_together
gibber	gibber
gibe	gibe
gift	gift
giggle	giggle
glaciate	glaciation
glamorise	glamorisation
glamorize	glamor
glamorize	glamorization
glamourise	glamourisation
glamourize	glamourization
glance	glance
glare	glare
gleam	gleam
glide	glide
glimmer	glimmer
glimpse	glimpse
glint	glint
glissade	glissade
glitter	glitter
gloat	gloat
globalise	globalisation
globalize	globalization
glorify	glorification
glory	glory
gloss	gloss
glower	glower
glow	glow
gobble	gobble
go	go
golf	golf
goose_step	goose_step
gore	gore
gossip	gossip
gouge	gouge
govern	governance
govern	government
grab	grab
gradate	gradation
grade	gradation
graduate	graduation
graft	graft
grant	grant
granulate	granulation
grapple	grapple
grasp	grasp
gratify	gratification
gravitate	gravitation
